LP,Score,Time,Memory,LM_Score,LM_Time,LM_Usage
cs-en,0.235,16.35,3.56,0.442,9.522624899999997,0.964486
de-en,0.397,14.84,2.29,0.486,9.5267537,0.877892
fi-en,0.335,13.9,2.2,0.621,9.515398300000001,0.491337
lv-en,0.222,15.08,3.18,0.591,7.459261799999993,0.30321
ru-en,0.343,16.49,2.71,0.491,9.44733069999998,0.265277
tr-en,0.341,15.89,3.26,0.473,10.301713500000005,0.227061
zh-en,0.366,17.31,2.55,0.453,9.538501800000006,0.81869
cs-en,0.037,15.37,3.12,0.409,9.806934000000012,0.781255
de-en,0.115,14.62,2.61,0.392,9.723764000000074,0.711198
fi-en,0.075,12.45,2.09,0.587,9.750482000000034,0.332823
lv-en,-0.059,13.12,2.57,0.545,7.995383800000013,0.24861
ru-en,0.001,15.36,2.56,0.447,9.953249400000004,0.265277
tr-en,-0.022,14.11,2.57,0.401,10.150601600000073,0.227117
zh-en,-0.087,13.88,2.39,0.356,9.500387899999964,0.81869
cs-en,0.058,12.02,3.47,0.391,9.238008100000002,0.782215
de-en,0.292,10.64,2.26,0.455,9.60662769999999,0.711334
fi-en,0.131,10.51,2.19,0.586,9.250806699999998,0.332959
lv-en,-0.049,12.01,3.17,0.539,7.315657800000054,0.24869
ru-en,0.208,13.2,2.7,0.443,9.627740700000004,0.265357
tr-en,0.081,12.77,3.26,0.415,9.340818900000045,0.227141
zh-en,0.303,12.75,2.54,0.421,9.262300600000003,0.818714
cs-en,-0.024,8.69,2.02,0.337,9.287508500000058,0.782535
de-en,0.093,9.86,2.15,0.383,9.238210499999923,0.712534
fi-en,-0.037,9.11,1.86,0.553,9.232369100000028,0.334103
lv-en,-0.100,7.19,2.32,0.487,7.178800399999886,0.24989
ru-en,-0.042,29.1,6.67,0.412,9.156229200000098,0.266557
tr-en,-0.063,10.44,2.87,0.325,9.05041529999994,0.228341
zh-en,-0.072,12.49,2.33,0.283,9.244899600000053,0.81997
