LP,Score,Time,Memory
cs-en,0.236,16.017,3.54
de-en,0.395,14.469,2.274
fi-en,0.337,13.895,2.186
lv-en,0.222,14.708,3.175
ru-en,0.342,16.186,2.696
tr-en,0.341,15.387,3.257
zh-en,0.368,16.628,2.544
cs-en,0.060,12.423,3.47
de-en,0.290,10.671,2.26
fi-en,0.130,10.827,2.183
lv-en,-0.049,12.227,3.171
ru-en,0.209,13.066,2.694
tr-en,0.081,12.171,3.257
zh-en,0.305,13.534,2.543
cs-en,-0.067,26.041,5.361
de-en,-0.041,30.189,4.03
fi-en,-0.257,21.73,3.545
lv-en,-0.282,21.637,4.187
ru-en,-0.088,21.585,3.289
tr-en,-0.144,29.241,6.742
zh-en,-0.137,10.092,1.531
cs-en,-0.072,25.91,5.386
de-en,0.034,19.969,4.643
fi-en,-0.172,19.121,3.542
lv-en,-0.228,22.59,5.574
ru-en,0.046,79.838,12.38
tr-en,-0.161,24.611,6.05
zh-en,-0.042,37.394,5.926
