LP,F1 Score,Time,Memory
cs-en,0.235,16.037,3.54
de-en,0.396,14.231,2.274
fi-en,0.336,13.975,2.186
lv-en,0.222,15.387,3.175
ru-en,0.342,16.686,2.696
tr-en,0.341,16.287,3.257
zh-en,0.368,16.638,2.544
cs-en,0.058,12.599,3.47
de-en,0.291,11.2,2.26
fi-en,0.134,10.96,2.183
lv-en,-0.049,12.156,3.171
ru-en,0.208,13.059,2.695
tr-en,0.083,12.323,3.257
zh-en,0.306,13.34,2.543
cs-en,-0.067,25.966,5.356
de-en,-0.045,30.59,4.033
fi-en,-0.258,22.594,3.545
lv-en,-0.280,22.083,4.187
ru-en,-0.088,21.492,3.289
tr-en,-0.145,30.145,6.742
zh-en,-0.138,10.377,1.531
cs-en,-0.071,26.219,5.386
de-en,0.042,20.155,4.643
fi-en,-0.173,19.79,3.541
lv-en,-0.228,22.071,5.574
ru-en,0.047,79.952,12.38
tr-en,-0.164,25.02,6.05
zh-en,-0.041,36.907,5.926
